SDJWT,HMAC,Merkle,Monoclaim,BBSPlus,PS
45,43,43,43,548,496
45,43,43,43,549,1303
44,43,43,43,549,2522
44,43,43,43,548,4156
44,43,43,43,548,6172
45,43,43,43,548,8594
45,43,43,43,548,11417
47,43,43,43,547,14725
45,44,43,43,549,18288
45,44,43,42,552,22336
46,43,43,43,548,26699
45,43,43,43,548,31667
47,44,44,43,549,36760
47,44,43,43,556,42332
46,44,43,43,548,48308
45,44,43,43,548,54723
46,44,43,44,549,61596
46,44,43,43,548,68655
47,44,43,43,548,76263
46,44,43,42,549,85819
47,45,45,45,569,93111
46,44,44,43,549,101406
45,45,43,43,548,110585
46,45,43,43,547,120105
46,45,43,43,548,130077
46,44,43,43,550,140534
45,44,43,43,548,151225
46,45,43,43,548,162335
47,44,44,43,548,173837
46,45,43,43,547,186006
47,51,56,46,554,198232
47,44,43,43,549,210788
45,45,44,43,548,223998
46,45,43,43,564,237497
46,45,43,43,548,251346
46,45,43,43,548,265647
46,45,43,43,549,280253
46,45,43,43,548,295429
46,45,43,43,548,311012
46,45,44,43,548,326758
46,45,44,43,558,343011
46,45,43,43,548,359470
46,45,43,43,548,377083
47,44,43,43,548,394074
47,45,43,43,548,411926
46,45,43,43,548,430200
46,45,44,43,547,449151
46,44,44,43,548,468025
46,44,43,43,547,487426
46,45,43,43,547,507324
46,45,43,43,548,527677
46,45,44,43,548,548214
47,44,43,43,555,568668
46,45,44,43,547,590952
47,45,43,43,547,612587
47,44,43,43,548,634687
46,44,43,43,548,656727
46,44,44,43,547,679733
47,44,45,45,567,703065
46,45,43,43,548,726870
46,45,43,43,548,750675
46,45,43,43,548,775672
46,45,44,44,550,800254
46,44,43,43,548,825156
46,44,43,43,548,851259
47,44,43,43,549,877481
47,44,44,43,566,903946
46,44,43,43,548,930873
46,44,43,43,548,958126
46,45,45,43,547,985806
47,44,43,43,548,1014016
46,44,43,43,548,1042465
46,44,43,44,548,1071189
46,44,43,43,549,1100840
46,44,43,43,548,1130044
47,44,43,43,547,1159961
46,44,44,43,547,1190192
46,44,43,43,548,1222183
47,44,44,43,549,1252796
47,44,43,43,547,1284741
47,44,43,43,548,1315902
46,44,44,43,548,1348964
47,44,43,43,548,1381596
46,44,44,43,557,1414641
47,43,44,43,547,1448447
47,44,44,43,547,1483174
47,44,44,43,549,1517039
47,44,44,43,548,1551207
47,44,44,43,547,1589638
47,44,43,43,548,1621908
47,45,43,43,547,1658321
47,45,43,43,548,1694181
47,44,43,43,549,1732221
47,44,43,43,550,1768802
47,44,44,43,548,1806237
46,44,43,43,547,1844492
46,44,43,43,548,1882785
47,44,43,43,548,1921222
46,44,43,43,548,1959792
46,44,43,43,547,2000103
