SDJWT,HMAC,Merkle,Monoclaim,BBSPlus,PS
1354,1352,1352,1350,260,1581
1354,1353,1356,1357,260,2670
1342,1360,1353,1362,260,4101
1354,1360,1356,1368,260,5873
1355,1350,1352,1358,260,7986
1359,1359,1354,1356,260,10464
1351,1372,1366,1356,260,13276
1355,1358,1357,1357,260,16439
1353,1366,1353,1350,260,19904
1356,1350,1355,1365,260,23742
1351,1351,1353,1352,260,27927
1363,1357,1366,1350,260,32557
1347,1358,1363,1362,260,37310
1356,1355,1347,1358,260,42546
1347,1360,1355,1359,260,48157
1359,1358,1361,1349,260,54102
1365,1360,1362,1365,260,60268
1353,1352,1358,1353,260,66687
1350,1353,1356,1346,260,73724
1338,1367,1355,1371,260,80994
1345,1359,1359,1351,260,88664
1365,1368,1347,1361,260,96688
1354,1359,1357,1359,260,104792
1350,1346,1356,1351,260,113439
1351,1366,1343,1354,260,122395
1357,1356,1356,1358,260,131778
1353,1351,1346,1346,260,141438
1355,1353,1350,1356,260,151462
1355,1351,1363,1355,260,161815
1341,1356,1362,1355,260,172604
1361,1348,1355,1366,260,183653
1357,1361,1355,1366,260,195293
1366,1343,1356,1358,260,207053
1361,1364,1360,1357,260,218779
1349,1374,1344,1363,260,231592
1351,1356,1348,1356,260,244089
1361,1365,1352,1354,260,256806
1358,1352,1348,1373,260,270610
1364,1359,1357,1353,260,284378
1360,1348,1350,1347,260,298620
1357,1359,1351,1359,260,313338
1371,1354,1358,1351,260,327874
1363,1362,1351,1375,260,342826
1362,1343,1362,1359,260,358321
1350,1362,1359,1354,260,374392
1349,1350,1360,1366,260,390968
1344,1359,1356,1349,260,407166
1354,1353,1360,1351,260,424074
1351,1337,1345,1361,260,441069
1352,1360,1365,1366,260,459132
1350,1351,1352,1366,260,476882
1352,1358,1365,1366,260,495168
1348,1357,1356,1362,260,513564
1348,1360,1353,1365,260,532452
1343,1364,1364,1345,260,552284
1353,1362,1342,1361,260,571558
1362,1349,1356,1358,260,591323
1358,1362,1360,1362,260,611960
1342,1362,1368,1362,260,632869
1365,1360,1349,1359,260,653398
1347,1359,1351,1353,260,674278
1356,1349,1351,1353,260,697235
1363,1358,1367,1353,260,718851
1355,1359,1368,1356,260,741300
1345,1337,1354,1356,260,763491
1359,1372,1348,1365,260,787102
1351,1361,1357,1345,260,809957
1355,1357,1353,1345,260,834021
1343,1360,1353,1352,260,858308
1359,1358,1359,1365,260,882858
1358,1375,1360,1352,260,907358
1356,1356,1366,1347,260,932428
1352,1361,1350,1362,260,958385
1357,1361,1367,1355,260,983288
1349,1364,1368,1365,260,1010639
1370,1353,1356,1354,260,1036089
1355,1362,1345,1361,260,1064281
1358,1355,1350,1368,260,1091173
1361,1365,1358,1356,260,1118603
1360,1358,1351,1355,260,1145430
1363,1352,1366,1357,260,1174661
1346,1356,1354,1364,260,1203165
1358,1360,1344,1363,260,1231484
1353,1357,1356,1356,260,1260241
1356,1353,1357,1357,260,1290911
1361,1358,1356,1355,260,1319924
1355,1364,1358,1368,260,1350995
1359,1362,1365,1353,260,1381447
1361,1354,1361,1355,260,1413653
1347,1357,1365,1360,260,1444062
1346,1350,1359,1358,260,1474950
1349,1361,1352,1366,260,1508500
1360,1355,1365,1355,260,1539795
1361,1355,1345,1360,260,1571896
1360,1358,1350,1358,260,1605707
1362,1361,1353,1348,260,1638701
1348,1348,1352,1360,260,1672141
1354,1354,1361,1364,260,1707691
1360,1361,1359,1371,260,1741438
1356,1349,1348,1360,260,1776319
