SDJWT,HMAC,Merkle,Monoclaim,BBSPlus,PS,CL
31,32,30,28,1055,914,1512
31,35,30,42,1435,901,1801
32,37,30,57,1818,913,2077
33,40,31,70,2198,909,2388
34,43,31,85,2583,908,2671
35,45,31,98,2961,894,2979
35,49,31,112,3345,960,3251
36,51,33,127,3729,960,3550
37,55,34,141,4113,895,3856
37,57,34,155,4492,879,4131
37,60,34,169,4874,928,4430
38,62,35,183,5256,934,4731
38,63,35,196,5637,904,5028
39,66,35,210,6023,904,5304
41,69,36,224,6401,898,5579
40,72,36,238,6788,907,5907
41,74,36,252,7167,890,6181
42,78,37,266,7546,880,6466
42,80,37,280,7930,897,6782
43,82,37,294,8311,904,7068
43,85,37,308,8693,915,7345
44,87,38,321,9074,923,7660
44,89,38,335,9459,909,7956
45,92,38,349,9842,905,8243
45,95,38,363,10221,895,8541
45,97,39,376,10601,894,8832
47,100,39,390,10982,911,9127
47,102,39,404,11364,919,9408
47,105,40,418,11748,913,9719
48,107,40,432,12136,932,10027
48,109,40,448,12510,913,10303
49,113,40,461,12890,907,10608
50,115,41,476,13272,901,10902
51,117,41,487,13655,899,11196
51,120,42,501,14036,926,11502
52,123,42,514,14423,901,11777
52,125,42,530,14803,901,12097
53,128,42,542,15181,897,12357
53,130,43,557,15565,887,12679
53,132,43,570,15950,904,12937
54,135,43,584,16327,904,13252
54,137,43,601,16710,892,13551
54,140,44,611,17093,953,13843
55,142,44,626,17476,916,14138
55,144,44,639,17865,912,14480
56,147,44,653,18237,893,14727
56,149,45,668,18624,925,15068
56,151,45,680,19006,904,15337
57,153,45,693,19387,901,15655
58,157,45,707,19769,894,15914
58,158,46,722,20157,924,16231
59,162,46,735,20533,923,16508
59,164,46,749,20912,904,16780
59,167,47,764,21295,947,17125
60,169,47,777,21677,911,17387
61,171,48,791,22062,911,17730
62,174,48,804,22444,942,17976
62,177,48,818,22829,909,18296
62,179,48,832,23207,965,18589
62,182,49,845,23597,904,18889
63,183,49,863,23969,926,19208
64,187,49,875,24343,902,19510
64,189,50,889,24739,934,19800
64,192,50,902,25113,928,20132
65,194,50,915,25505,910,20349
66,197,50,929,25876,934,20682
66,199,51,943,26274,948,20997
67,202,51,957,26639,904,21272
67,204,51,973,27025,924,21616
67,206,51,984,27406,986,21872
67,209,52,999,27791,914,22173
69,211,52,1011,28174,950,22478
69,214,52,1027,28551,928,22773
69,216,53,1041,28932,937,23077
70,218,53,1055,29309,945,23392
70,221,53,1067,29695,903,23671
71,222,54,1081,30081,910,23990
71,225,54,1096,30459,922,24293
71,228,54,1108,30843,922,24590
72,230,54,1122,31226,936,24913
72,234,54,1136,31599,913,25177
73,235,54,1150,31982,948,25457
72,237,55,1164,32364,910,25781
73,240,55,1177,32742,950,26088
73,242,56,1191,33127,931,26411
74,245,56,1208,33508,921,26712
74,247,56,1218,33904,932,26997
75,250,56,1231,34276,935,27275
75,251,57,1247,34653,925,27599
76,255,57,1261,35037,925,27891
76,256,58,1274,35420,915,28197
76,259,58,1288,35796,956,28494
77,263,58,1301,36182,915,28787
77,263,58,1313,36567,941,29062
77,267,58,1327,36952,939,29403
78,270,59,1341,37333,919,29709
79,271,59,1356,37708,918,29975
79,274,59,1368,38106,955,30271
79,277,60,1383,38478,926,30569
80,280,60,1401,38857,927,30908
