SDJWT,HMAC,Merkle,Monoclaim,BBSPlus,PS,CL
711,829,788,393,555,1488,1791
849,1109,821,555,595,1527,2211
999,1376,873,716,635,1563,2636
1149,1645,911,877,675,1600,3055
1301,1919,949,1039,715,1621,3476
1445,2191,976,1200,755,1668,3897
1591,2435,1037,1361,795,1719,4320
1740,2743,1071,1523,835,1771,4744
1891,3001,1124,1684,875,1805,5169
2037,3272,1144,1848,917,1845,5585
2200,3568,1191,2012,960,1872,6016
2347,3839,1217,2176,1003,1931,6443
2500,4105,1272,2340,1045,1956,6869
2647,4388,1328,2504,1088,1997,7293
2799,4669,1367,2668,1131,2051,7715
2953,4953,1396,2832,1173,2091,8141
3091,5217,1435,2996,1216,2136,8567
3241,5455,1497,3160,1259,2187,8984
3400,5747,1537,3324,1301,2208,9416
3548,6024,1588,3488,1344,2268,9833
3705,6289,1608,3652,1387,2304,10271
3857,6576,1665,3816,1429,2373,10675
4000,6881,1703,3980,1472,2400,11109
4155,7112,1732,4144,1515,2440,11537
4300,7376,1800,4308,1557,2481,11957
4457,7691,1829,4472,1600,2517,12383
4600,7931,1879,4636,1643,2561,12809
4751,8225,1916,4800,1685,2615,13241
4909,8500,1961,4964,1728,2651,13665
5056,8777,2012,5128,1771,2684,14091
5209,9091,2049,5292,1813,2733,14508
5341,9339,2097,5456,1856,2807,14936
5509,9633,2136,5620,1899,2817,15349
5656,9907,2175,5784,1941,2873,15779
5800,10144,2217,5948,1984,2887,16208
5957,10416,2259,6112,2027,2964,16624
6115,10723,2295,6276,2069,2989,17060
6269,11000,2347,6440,2112,3032,17487
6403,11237,2383,6604,2155,3075,17901
6569,11556,2427,6768,2197,3124,18337
6715,11795,2480,6932,2240,3173,18744
6875,12032,2523,7096,2283,3209,19188
7007,12336,2555,7260,2325,3241,19603
7167,12676,2601,7424,2368,3275,20041
7316,12899,2644,7588,2411,3332,20444
7465,13164,2683,7752,2453,3373,20893
7609,13483,2741,7916,2496,3415,21323
7772,13737,2775,8080,2539,3464,21732
7916,13976,2820,8244,2581,3524,22167
8063,14240,2868,8408,2624,3552,22575
8223,14520,2900,8572,2667,3583,23012
8376,14877,2951,8736,2709,3653,23435
8512,15119,2995,8900,2752,3671,23869
8673,15392,3032,9064,2795,3719,24276
8821,15625,3063,9228,2837,3752,24709
8973,15947,3129,9392,2880,3799,25115
9116,16232,3143,9556,2923,3845,25563
9283,16508,3195,9720,2965,3892,25984
9424,16756,3257,9884,3008,3921,26388
9580,17099,3277,10048,3051,3989,26837
9719,17256,3329,10212,3093,4027,27264
9879,17564,3365,10376,3136,4069,27664
10012,17887,3397,10540,3179,4089,28067
10179,18161,3460,10704,3221,4140,28519
10333,18419,3493,10868,3264,4203,28961
10477,18713,3552,11032,3307,4243,29385
10623,18980,3577,11196,3349,4276,29793
10785,19255,3615,11360,3392,4312,30224
10947,19487,3675,11524,3435,4352,30663
11093,19771,3709,11688,3477,4399,31083
11237,20005,3747,11852,3520,4425,31492
11373,20391,3792,12016,3563,4496,31895
11541,20596,3841,12180,3605,4536,32360
11681,20808,3892,12344,3648,4588,32777
11844,21149,3920,12508,3691,4636,33219
11981,21416,3967,12672,3733,4652,33621
12139,21719,4007,12836,3776,4692,34033
12280,21987,4035,13000,3819,4744,34449
12436,22183,4084,13164,3861,4799,34905
12580,22500,4135,13328,3904,4811,35307
12745,22845,4171,13492,3947,4871,35741
12883,23084,4227,13656,3989,4913,36149
13041,23424,4269,13820,4032,4955,36588
13185,23584,4296,13984,4075,4993,37024
13349,23897,4344,14148,4117,5040,37451
13497,24223,4391,14312,4160,5087,37832
13639,24503,4424,14476,4203,5131,38245
13805,24749,4480,14640,4245,5187,38737
13951,24975,4520,14804,4288,5204,39144
14105,25267,4568,14968,4331,5255,39575
14249,25649,4624,15132,4373,5299,39969
14397,25865,4655,15296,4416,5339,40391
14552,26140,4693,15460,4459,5383,40851
14696,26427,4732,15624,4501,5445,41216
14853,26788,4783,15788,4544,5460,41656
14999,26896,4823,15952,4587,5521,42087
15157,27164,4860,16116,4629,5559,42567
15311,27464,4901,16280,4672,5609,42991
15444,27735,4952,16444,4715,5631,43407
15619,28063,4989,16611,4760,5680,43832
