SDJWT,HMAC,Merkle,Monoclaim,BBSPlus,PS,CL
48,50,49,47,2377,2332,511
49,53,49,87,2758,2443,581
49,55,49,127,3141,2560,649
50,57,50,167,3522,2666,717
50,60,50,206,3902,2779,782
50,62,50,246,4286,2890,851
50,65,50,286,4669,2997,920
52,68,51,326,5049,3106,982
52,70,52,364,5433,3222,1057
53,73,52,404,5814,3335,1116
53,76,52,444,6195,3441,1188
53,77,52,484,6578,3554,1259
54,80,53,524,6961,3664,1328
55,82,53,562,7338,3776,1393
55,84,53,602,7730,3890,1477
55,87,53,642,8106,4002,1535
56,89,54,680,8486,4108,1601
56,92,55,721,8870,4219,1668
57,94,55,762,9248,4326,1743
56,96,55,800,9633,4436,1810
57,98,56,840,10015,4547,1875
57,101,56,880,10396,4658,1946
58,103,56,920,10778,4765,2016
58,104,56,959,11156,4875,2091
58,109,57,999,11540,4990,2151
59,109,57,1038,11927,5100,2226
59,111,57,1078,12301,5214,2298
59,114,57,1118,12688,5315,2365
60,116,58,1158,13069,5427,2430
60,118,58,1197,13446,5532,2514
61,120,58,1234,13832,5643,2574
61,123,59,1274,14213,5755,2650
62,125,59,1317,14594,5861,2715
62,127,59,1355,14978,5982,2785
62,130,60,1394,15358,6086,2862
62,132,60,1435,15742,6194,2925
63,134,60,1473,16125,6313,3002
63,137,60,1514,16507,6420,3079
63,140,61,1554,16899,6527,3143
63,141,61,1592,17274,6639,3222
64,145,61,1634,17655,6743,3308
64,147,63,1674,18036,6855,3367
65,149,61,1714,18418,6958,3422
65,151,62,1752,18802,7070,3508
66,154,62,1791,19182,7175,3582
66,156,62,1829,19569,7285,3651
66,159,63,1870,19943,7396,3719
67,161,63,1910,20326,7503,3803
67,163,63,1952,20709,7614,3863
67,165,63,1992,21098,7722,3947
68,167,64,2033,21475,7831,4011
69,170,64,2069,21858,7942,4082
69,172,64,2111,22243,8054,4160
69,175,65,2148,22621,8159,4226
70,178,65,2188,23000,8265,4299
70,180,65,2228,23381,8382,4372
71,183,65,2272,23769,8484,4460
72,185,65,2308,24149,8593,4529
72,188,66,2350,24535,8707,4585
72,189,66,2390,24916,8826,4669
73,193,66,2425,25286,8928,4751
73,194,67,2464,25672,9038,4801
74,197,67,2506,26060,9154,4856
74,199,67,2545,26443,9259,4961
74,202,68,2585,26821,9379,5043
75,204,68,2625,27204,9487,5116
76,207,68,2664,27583,9596,5185
76,209,68,2704,27966,9707,5266
77,211,68,2741,28348,9815,5352
77,213,69,2783,28733,9925,5416
77,215,69,2822,29113,10031,5484
77,217,70,2861,29493,10146,5531
77,220,69,2900,29871,10256,5647
78,223,70,2938,30254,10370,5720
79,225,70,2981,30635,10477,5846
79,229,70,3021,31020,10578,5869
79,229,70,3057,31399,10697,5935
81,232,71,3096,31781,10808,5976
80,235,71,3141,32169,10911,6096
81,237,71,3178,32553,11015,6153
81,239,71,3219,32923,11129,6237
82,242,72,3258,33302,11234,6301
82,245,72,3297,33690,11349,6382
83,246,72,3337,34067,11454,6469
83,249,72,3377,34450,11566,6552
83,251,73,3416,34904,11687,6588
84,254,73,3451,35213,11786,6659
84,256,73,3497,35599,11890,6778
85,258,73,3532,35982,12000,6856
85,261,73,3572,36367,12107,6925
86,265,74,3611,36741,12217,6999
86,267,74,3655,37119,12335,7067
87,269,74,3692,37513,12447,7154
87,271,74,3730,37899,12553,7210
87,273,75,3769,38275,12670,7251
88,275,75,3808,38651,12779,7365
88,278,75,3850,39040,12881,7477
89,282,75,3891,39421,12997,7555
90,283,76,3930,39806,13101,7624
92,286,76,3969,40183,13215,7707
